gesture_id,person_id,session_id,run_path,include,notes
A,P01,BLUE,..\..\..\..\data\tsgr_dataset\training\P01\BLUE\A\runs\run_20260926_145947_973838_p25540,true,fold=S4_LOSO_BACKGROUND/subject_P04__background_BLACK; images=25
L,P05,BLUE,..\..\..\..\data\tsgr_dataset\training\P05\BLUE\L\runs\run_20260926_150018_511461_p27064,true,fold=S4_LOSO_BACKGROUND/subject_P04__background_BLACK; images=25
L,P05,WHITE,..\..\..\..\data\tsgr_dataset\training\P05\WHITE\L\runs\run_20260926_150020_852945_p13588,true,fold=S4_LOSO_BACKGROUND/subject_P04__background_BLACK; images=25
M,P01,BLUE,..\..\..\..\data\tsgr_dataset\training\P01\BLUE\M\runs\run_20260926_145947_981838_p27596,true,fold=S4_LOSO_BACKGROUND/subject_P04__background_BLACK; images=25
M,P01,WHITE,..\..\..\..\data\tsgr_dataset\training\P01\WHITE\M\runs\run_20260926_145950_455527_p26772,true,fold=S4_LOSO_BACKGROUND/subject_P04__background_BLACK; images=25
M,P02,BLUE,..\..\..\..\data\tsgr_dataset\training\P02\BLUE\M\runs\run_20260926_145955_457251_p18804,true,fold=S4_LOSO_BACKGROUND/subject_P04__background_BLACK; images=25
M,P02,WHITE,..\..\..\..\data\tsgr_dataset\training\P02\WHITE\M\runs\run_20260926_145957_781357_p12404,true,fold=S4_LOSO_BACKGROUND/subject_P04__background_BLACK; images=25
M,P03,BLUE,..\..\..\..\data\tsgr_dataset\training\P03\BLUE\M\runs\run_20260926_150002_740065_p3148,true,fold=S4_LOSO_BACKGROUND/subject_P04__background_BLACK; images=25
M,P03,WHITE,..\..\..\..\data\tsgr_dataset\training\P03\WHITE\M\runs\run_20260926_150005_129092_p26832,true,fold=S4_LOSO_BACKGROUND/subject_P04__background_BLACK; images=25
M,P05,BLUE,..\..\..\..\data\tsgr_dataset\training\P05\BLUE\M\runs\run_20260926_150018_511461_p13588,true,fold=S4_LOSO_BACKGROUND/subject_P04__background_BLACK; images=25
M,P05,WHITE,..\..\..\..\data\tsgr_dataset\training\P05\WHITE\M\runs\run_20260926_150020_854446_p11480,true,fold=S4_LOSO_BACKGROUND/subject_P04__background_BLACK; images=25
N,P01,BLUE,..\..\..\..\data\tsgr_dataset\training\P01\BLUE\N\runs\run_20260926_145947_978838_p26772,true,fold=S4_LOSO_BACKGROUND/subject_P04__background_BLACK; images=25
N,P01,WHITE,..\..\..\..\data\tsgr_dataset\training\P01\WHITE\N\runs\run_20260926_145950_459527_p20916,true,fold=S4_LOSO_BACKGROUND/subject_P04__background_BLACK; images=25
N,P02,BLUE,..\..\..\..\data\tsgr_dataset\training\P02\BLUE\N\runs\run_20260926_145955_468251_p12404,true,fold=S4_LOSO_BACKGROUND/subject_P04__background_BLACK; images=25
N,P02,WHITE,..\..\..\..\data\tsgr_dataset\training\P02\WHITE\N\runs\run_20260926_145957_777358_p14644,true,fold=S4_LOSO_BACKGROUND/subject_P04__background_BLACK; images=25
N,P03,BLUE,..\..\..\..\data\tsgr_dataset\training\P03\BLUE\N\runs\run_20260926_150002_749564_p26832,true,fold=S4_LOSO_BACKGROUND/subject_P04__background_BLACK; images=25
N,P03,WHITE,..\..\..\..\data\tsgr_dataset\training\P03\WHITE\N\runs\run_20260926_150005_125090_p26360,true,fold=S4_LOSO_BACKGROUND/subject_P04__background_BLACK; images=25
N,P05,BLUE,..\..\..\..\data\tsgr_dataset\training\P05\BLUE\N\runs\run_20260926_150018_510961_p11480,true,fold=S4_LOSO_BACKGROUND/subject_P04__background_BLACK; images=25
N,P05,WHITE,..\..\..\..\data\tsgr_dataset\training\P05\WHITE\N\runs\run_20260926_150020_853447_p8564,true,fold=S4_LOSO_BACKGROUND/subject_P04__background_BLACK; images=25
O,P01,BLUE,..\..\..\..\data\tsgr_dataset\training\P01\BLUE\O\runs\run_20260926_145947_976340_p20916,true,fold=S4_LOSO_BACKGROUND/subject_P04__background_BLACK; images=25
O,P01,WHITE,..\..\..\..\data\tsgr_dataset\training\P01\WHITE\O\runs\run_20260926_145950_457027_p18804,true,fold=S4_LOSO_BACKGROUND/subject_P04__background_BLACK; images=25
O,P02,BLUE,..\..\..\..\data\tsgr_dataset\training\P02\BLUE\O\runs\run_20260926_145955_462750_p14644,true,fold=S4_LOSO_BACKGROUND/subject_P04__background_BLACK; images=25
O,P02,WHITE,..\..\..\..\data\tsgr_dataset\training\P02\WHITE\O\runs\run_20260926_145957_785357_p3148,true,fold=S4_LOSO_BACKGROUND/subject_P04__background_BLACK; images=25
O,P03,BLUE,..\..\..\..\data\tsgr_dataset\training\P03\BLUE\O\runs\run_20260926_150002_742566_p26360,true,fold=S4_LOSO_BACKGROUND/subject_P04__background_BLACK; images=25
O,P03,WHITE,..\..\..\..\data\tsgr_dataset\training\P03\WHITE\O\runs\run_20260926_150007_371147_p14120,true,fold=S4_LOSO_BACKGROUND/subject_P04__background_BLACK; images=25
O,P05,BLUE,..\..\..\..\data\tsgr_dataset\training\P05\BLUE\O\runs\run_20260926_150018_511461_p8564,true,fold=S4_LOSO_BACKGROUND/subject_P04__background_BLACK; images=25
O,P05,WHITE,..\..\..\..\data\tsgr_dataset\training\P05\WHITE\O\runs\run_20260926_150020_853946_p18060,true,fold=S4_LOSO_BACKGROUND/subject_P04__background_BLACK; images=25
P,P01,BLUE,..\..\..\..\data\tsgr_dataset\training\P01\BLUE\P\runs\run_20260926_145947_977338_p18804,true,fold=S4_LOSO_BACKGROUND/subject_P04__background_BLACK; images=25
P,P01,WHITE,..\..\..\..\data\tsgr_dataset\training\P01\WHITE\P\runs\run_20260926_145950_458527_p12404,true,fold=S4_LOSO_BACKGROUND/subject_P04__background_BLACK; images=25
P,P02,BLUE,..\..\..\..\data\tsgr_dataset\training\P02\BLUE\P\runs\run_20260926_145955_449752_p3148,true,fold=S4_LOSO_BACKGROUND/subject_P04__background_BLACK; images=25
P,P02,WHITE,..\..\..\..\data\tsgr_dataset\training\P02\WHITE\P\runs\run_20260926_145957_785856_p26832,true,fold=S4_LOSO_BACKGROUND/subject_P04__background_BLACK; images=25
P,P03,BLUE,..\..\..\..\data\tsgr_dataset\training\P03\BLUE\P\runs\run_20260926_150005_119091_p14120,true,fold=S4_LOSO_BACKGROUND/subject_P04__background_BLACK; images=25
P,P03,WHITE,..\..\..\..\data\tsgr_dataset\training\P03\WHITE\P\runs\run_20260926_150007_380149_p25540,true,fold=S4_LOSO_BACKGROUND/subject_P04__background_BLACK; images=25
P,P05,BLUE,..\..\..\..\data\tsgr_dataset\training\P05\BLUE\P\runs\run_20260926_150018_511461_p18060,true,fold=S4_LOSO_BACKGROUND/subject_P04__background_BLACK; images=25
P,P05,WHITE,..\..\..\..\data\tsgr_dataset\training\P05\WHITE\P\runs\run_20260926_150020_842945_p27596,true,fold=S4_LOSO_BACKGROUND/subject_P04__background_BLACK; images=25
R,P01,BLUE,..\..\..\..\data\tsgr_dataset\training\P01\BLUE\R\runs\run_20260926_145947_983838_p12404,true,fold=S4_LOSO_BACKGROUND/subject_P04__background_BLACK; images=25
R,P01,WHITE,..\..\..\..\data\tsgr_dataset\training\P01\WHITE\R\runs\run_20260926_145950_465526_p14644,true,fold=S4_LOSO_BACKGROUND/subject_P04__background_BLACK; images=25
R,P02,BLUE,..\..\..\..\data\tsgr_dataset\training\P02\BLUE\R\runs\run_20260926_145955_464251_p26832,true,fold=S4_LOSO_BACKGROUND/subject_P04__background_BLACK; images=25
R,P02,WHITE,..\..\..\..\data\tsgr_dataset\training\P02\WHITE\R\runs\run_20260926_145957_785856_p26360,true,fold=S4_LOSO_BACKGROUND/subject_P04__background_BLACK; images=25
R,P03,BLUE,..\..\..\..\data\tsgr_dataset\training\P03\BLUE\R\runs\run_20260926_150005_119091_p25540,true,fold=S4_LOSO_BACKGROUND/subject_P04__background_BLACK; images=25
R,P03,WHITE,..\..\..\..\data\tsgr_dataset\training\P03\WHITE\R\runs\run_20260926_150007_370647_p27064,true,fold=S4_LOSO_BACKGROUND/subject_P04__background_BLACK; images=25
R,P05,BLUE,..\..\..\..\data\tsgr_dataset\training\P05\BLUE\R\runs\run_20260926_150018_502961_p27596,true,fold=S4_LOSO_BACKGROUND/subject_P04__background_BLACK; images=25
R,P05,WHITE,..\..\..\..\data\tsgr_dataset\training\P05\WHITE\R\runs\run_20260926_150020_853946_p26772,true,fold=S4_LOSO_BACKGROUND/subject_P04__background_BLACK; images=25
S,P01,BLUE,..\..\..\..\data\tsgr_dataset\training\P01\BLUE\S\runs\run_20260926_145947_982837_p14644,true,fold=S4_LOSO_BACKGROUND/subject_P04__background_BLACK; images=25
S,P01,WHITE,..\..\..\..\data\tsgr_dataset\training\P01\WHITE\S\runs\run_20260926_145950_466026_p3148,true,fold=S4_LOSO_BACKGROUND/subject_P04__background_BLACK; images=25
S,P02,BLUE,..\..\..\..\data\tsgr_dataset\training\P02\BLUE\S\runs\run_20260926_145955_402752_p26360,true,fold=S4_LOSO_BACKGROUND/subject_P04__background_BLACK; images=25
S,P02,WHITE,..\..\..\..\data\tsgr_dataset\training\P02\WHITE\S\runs\run_20260926_150000_232477_p14120,true,fold=S4_LOSO_BACKGROUND/subject_P04__background_BLACK; images=25
S,P03,BLUE,..\..\..\..\data\tsgr_dataset\training\P03\BLUE\S\runs\run_20260926_150005_120091_p27064,true,fold=S4_LOSO_BACKGROUND/subject_P04__background_BLACK; images=25
S,P03,WHITE,..\..\..\..\data\tsgr_dataset\training\P03\WHITE\S\runs\run_20260926_150007_372647_p13588,true,fold=S4_LOSO_BACKGROUND/subject_P04__background_BLACK; images=25
S,P05,BLUE,..\..\..\..\data\tsgr_dataset\training\P05\BLUE\S\runs\run_20260926_150018_511461_p26772,true,fold=S4_LOSO_BACKGROUND/subject_P04__background_BLACK; images=25
S,P05,WHITE,..\..\..\..\data\tsgr_dataset\training\P05\WHITE\S\runs\run_20260926_150020_854946_p20916,true,fold=S4_LOSO_BACKGROUND/subject_P04__background_BLACK; images=25
T,P01,BLUE,..\..\..\..\data\tsgr_dataset\training\P01\BLUE\T\runs\run_20260926_145947_981339_p3148,true,fold=S4_LOSO_BACKGROUND/subject_P04__background_BLACK; images=25
T,P01,WHITE,..\..\..\..\data\tsgr_dataset\training\P01\WHITE\T\runs\run_20260926_145950_464026_p26832,true,fold=S4_LOSO_BACKGROUND/subject_P04__background_BLACK; images=25
T,P02,BLUE,..\..\..\..\data\tsgr_dataset\training\P02\BLUE\T\runs\run_20260926_145957_785856_p14120,true,fold=S4_LOSO_BACKGROUND/subject_P04__background_BLACK; images=25
T,P02,WHITE,..\..\..\..\data\tsgr_dataset\training\P02\WHITE\T\runs\run_20260926_150000_232977_p25540,true,fold=S4_LOSO_BACKGROUND/subject_P04__background_BLACK; images=25
T,P03,BLUE,..\..\..\..\data\tsgr_dataset\training\P03\BLUE\T\runs\run_20260926_150005_128093_p13588,true,fold=S4_LOSO_BACKGROUND/subject_P04__background_BLACK; images=25
T,P03,WHITE,..\..\..\..\data\tsgr_dataset\training\P03\WHITE\T\runs\run_20260926_150007_371147_p11480,true,fold=S4_LOSO_BACKGROUND/subject_P04__background_BLACK; images=25
T,P05,BLUE,..\..\..\..\data\tsgr_dataset\training\P05\BLUE\T\runs\run_20260926_150018_505461_p20916,true,fold=S4_LOSO_BACKGROUND/subject_P04__background_BLACK; images=25
T,P05,WHITE,..\..\..\..\data\tsgr_dataset\training\P05\WHITE\T\runs\run_20260926_150020_853946_p18804,true,fold=S4_LOSO_BACKGROUND/subject_P04__background_BLACK; images=25
U,P01,BLUE,..\..\..\..\data\tsgr_dataset\training\P01\BLUE\U\runs\run_20260926_145947_975338_p26832,true,fold=S4_LOSO_BACKGROUND/subject_P04__background_BLACK; images=25
U,P01,WHITE,..\..\..\..\data\tsgr_dataset\training\P01\WHITE\U\runs\run_20260926_145950_462027_p26360,true,fold=S4_LOSO_BACKGROUND/subject_P04__background_BLACK; images=25
U,P02,BLUE,..\..\..\..\data\tsgr_dataset\training\P02\BLUE\U\runs\run_20260926_145957_787357_p25540,true,fold=S4_LOSO_BACKGROUND/subject_P04__background_BLACK; images=25
U,P02,WHITE,..\..\..\..\data\tsgr_dataset\training\P02\WHITE\U\runs\run_20260926_150000_243977_p27064,true,fold=S4_LOSO_BACKGROUND/subject_P04__background_BLACK; images=25
U,P03,BLUE,..\..\..\..\data\tsgr_dataset\training\P03\BLUE\U\runs\run_20260926_150005_128093_p11480,true,fold=S4_LOSO_BACKGROUND/subject_P04__background_BLACK; images=25
U,P03,WHITE,..\..\..\..\data\tsgr_dataset\training\P03\WHITE\U\runs\run_20260926_150007_381148_p8564,true,fold=S4_LOSO_BACKGROUND/subject_P04__background_BLACK; images=25
U,P05,BLUE,..\..\..\..\data\tsgr_dataset\training\P05\BLUE\U\runs\run_20260926_150018_503960_p18804,true,fold=S4_LOSO_BACKGROUND/subject_P04__background_BLACK; images=25
U,P05,WHITE,..\..\..\..\data\tsgr_dataset\training\P05\WHITE\U\runs\run_20260926_150020_854946_p12404,true,fold=S4_LOSO_BACKGROUND/subject_P04__background_BLACK; images=25
V,P01,BLUE,..\..\..\..\data\tsgr_dataset\training\P01\BLUE\V\runs\run_20260926_145947_982338_p26360,true,fold=S4_LOSO_BACKGROUND/subject_P04__background_BLACK; images=25
V,P01,WHITE,..\..\..\..\data\tsgr_dataset\training\P01\WHITE\V\runs\run_20260926_145952_965145_p14120,true,fold=S4_LOSO_BACKGROUND/subject_P04__background_BLACK; images=25
V,P02,BLUE,..\..\..\..\data\tsgr_dataset\training\P02\BLUE\V\runs\run_20260926_145957_785357_p27064,true,fold=S4_LOSO_BACKGROUND/subject_P04__background_BLACK; images=25
V,P02,WHITE,..\..\..\..\data\tsgr_dataset\training\P02\WHITE\V\runs\run_20260926_150000_231477_p13588,true,fold=S4_LOSO_BACKGROUND/subject_P04__background_BLACK; images=25
V,P03,BLUE,..\..\..\..\data\tsgr_dataset\training\P03\BLUE\V\runs\run_20260926_150005_129591_p8564,true,fold=S4_LOSO_BACKGROUND/subject_P04__background_BLACK; images=25
V,P03,WHITE,..\..\..\..\data\tsgr_dataset\training\P03\WHITE\V\runs\run_20260926_150007_381148_p18060,true,fold=S4_LOSO_BACKGROUND/subject_P04__background_BLACK; images=25
V,P05,BLUE,..\..\..\..\data\tsgr_dataset\training\P05\BLUE\V\runs\run_20260926_150018_501961_p12404,true,fold=S4_LOSO_BACKGROUND/subject_P04__background_BLACK; images=25
V,P05,WHITE,..\..\..\..\data\tsgr_dataset\training\P05\WHITE\V\runs\run_20260926_150020_852446_p14644,true,fold=S4_LOSO_BACKGROUND/subject_P04__background_BLACK; images=25
W,P01,BLUE,..\..\..\..\data\tsgr_dataset\training\P01\BLUE\W\runs\run_20260926_145950_456527_p14120,true,fold=S4_LOSO_BACKGROUND/subject_P04__background_BLACK; images=25
W,P01,WHITE,..\..\..\..\data\tsgr_dataset\training\P01\WHITE\W\runs\run_20260926_145952_965643_p25540,true,fold=S4_LOSO_BACKGROUND/subject_P04__background_BLACK; images=25
W,P02,BLUE,..\..\..\..\data\tsgr_dataset\training\P02\BLUE\W\runs\run_20260926_145957_775357_p13588,true,fold=S4_LOSO_BACKGROUND/subject_P04__background_BLACK; images=25
W,P02,WHITE,..\..\..\..\data\tsgr_dataset\training\P02\WHITE\W\runs\run_20260926_150000_230978_p11480,true,fold=S4_LOSO_BACKGROUND/subject_P04__background_BLACK; images=25
W,P03,BLUE,..\..\..\..\data\tsgr_dataset\training\P03\BLUE\W\runs\run_20260926_150005_121591_p18060,true,fold=S4_LOSO_BACKGROUND/subject_P04__background_BLACK; images=25
W,P03,WHITE,..\..\..\..\data\tsgr_dataset\training\P03\WHITE\W\runs\run_20260926_150007_380648_p27596,true,fold=S4_LOSO_BACKGROUND/subject_P04__background_BLACK; images=25
W,P05,BLUE,..\..\..\..\data\tsgr_dataset\training\P05\BLUE\W\runs\run_20260926_150018_510961_p14644,true,fold=S4_LOSO_BACKGROUND/subject_P04__background_BLACK; images=25
W,P05,WHITE,..\..\..\..\data\tsgr_dataset\training\P05\WHITE\W\runs\run_20260926_150020_854446_p3148,true,fold=S4_LOSO_BACKGROUND/subject_P04__background_BLACK; images=25
Y,P01,BLUE,..\..\..\..\data\tsgr_dataset\training\P01\BLUE\Y\runs\run_20260926_145950_453029_p25540,true,fold=S4_LOSO_BACKGROUND/subject_P04__background_BLACK; images=25
Y,P01,WHITE,..\..\..\..\data\tsgr_dataset\training\P01\WHITE\Y\runs\run_20260926_145952_974648_p27064,true,fold=S4_LOSO_BACKGROUND/subject_P04__background_BLACK; images=25
Y,P02,BLUE,..\..\..\..\data\tsgr_dataset\training\P02\BLUE\Y\runs\run_20260926_145957_786358_p11480,true,fold=S4_LOSO_BACKGROUND/subject_P04__background_BLACK; images=25
Y,P02,WHITE,..\..\..\..\data\tsgr_dataset\training\P02\WHITE\Y\runs\run_20260926_150000_232977_p8564,true,fold=S4_LOSO_BACKGROUND/subject_P04__background_BLACK; images=25
Y,P03,BLUE,..\..\..\..\data\tsgr_dataset\training\P03\BLUE\Y\runs\run_20260926_150005_128093_p27596,true,fold=S4_LOSO_BACKGROUND/subject_P04__background_BLACK; images=25
Y,P03,WHITE,..\..\..\..\data\tsgr_dataset\training\P03\WHITE\Y\runs\run_20260926_150007_371647_p26772,true,fold=S4_LOSO_BACKGROUND/subject_P04__background_BLACK; images=25
Y,P05,BLUE,..\..\..\..\data\tsgr_dataset\training\P05\BLUE\Y\runs\run_20260926_150018_500463_p3148,true,fold=S4_LOSO_BACKGROUND/subject_P04__background_BLACK; images=25
Y,P05,WHITE,..\..\..\..\data\tsgr_dataset\training\P05\WHITE\Y\runs\run_20260926_150020_843946_p26832,true,fold=S4_LOSO_BACKGROUND/subject_P04__background_BLACK; images=25
