take_id,public_subject_id,background,gesture_id,total_frames,evaluated_frames,gesture_frames,no_gesture_frames,no_hand_frames,unannotated_frames,gesture_fraction,no_gesture_fraction,no_hand_fraction,gesture_duration_frames,gesture_duration_s,fps
P01_BLACK_B_take_0010,P01,BLACK,B,153,153,48,105,0,0,0.3137254901960784,0.6862745098039216,0.0,48,2.4,20.0
P01_BLACK_C_take_0001,P01,BLACK,C,156,156,50,106,0,0,0.32051282051282054,0.6794871794871795,0.0,50,2.5,20.0
P01_BLACK_C_take_0002,P01,BLACK,C,155,155,51,104,0,0,0.32903225806451614,0.6709677419354839,0.0,51,2.55,20.0
P01_BLACK_C_take_0003,P01,BLACK,C,159,159,51,108,0,0,0.32075471698113206,0.6792452830188679,0.0,51,2.55,20.0
P01_BLACK_C_take_0004,P01,BLACK,C,155,155,50,105,0,0,0.3225806451612903,0.6774193548387096,0.0,50,2.5,20.0
P01_BLACK_C_take_0005,P01,BLACK,C,154,154,48,106,0,0,0.3116883116883117,0.6883116883116883,0.0,48,2.4,20.0
P01_BLACK_C_take_0006,P01,BLACK,C,156,156,55,101,0,0,0.3525641025641026,0.6474358974358975,0.0,55,2.75,20.0
P01_BLACK_C_take_0007,P01,BLACK,C,157,157,50,107,0,0,0.3184713375796178,0.6815286624203821,0.0,50,2.5,20.0
P01_BLACK_C_take_0008,P01,BLACK,C,154,154,54,100,0,0,0.35064935064935066,0.6493506493506493,0.0,54,2.7,20.0
P01_BLACK_C_take_0009,P01,BLACK,C,156,156,51,105,0,0,0.3269230769230769,0.6730769230769231,0.0,51,2.55,20.0
P01_BLACK_C_take_0010,P01,BLACK,C,155,155,55,100,0,0,0.3548387096774194,0.6451612903225806,0.0,55,2.75,20.0
P01_BLACK_E_take_0001,P01,BLACK,E,159,159,50,109,0,0,0.31446540880503143,0.6855345911949685,0.0,50,2.5,20.0
P01_BLACK_E_take_0002,P01,BLACK,E,156,156,50,106,0,0,0.32051282051282054,0.6794871794871795,0.0,50,2.5,20.0
P01_BLACK_E_take_0003,P01,BLACK,E,155,155,55,100,0,0,0.3548387096774194,0.6451612903225806,0.0,55,2.75,20.0
P01_BLACK_E_take_0004,P01,BLACK,E,157,157,50,107,0,0,0.3184713375796178,0.6815286624203821,0.0,50,2.5,20.0
P01_BLACK_E_take_0005,P01,BLACK,E,157,157,52,105,0,0,0.33121019108280253,0.6687898089171974,0.0,52,2.6,20.0
P01_BLACK_E_take_0006,P01,BLACK,E,157,157,52,105,0,0,0.33121019108280253,0.6687898089171974,0.0,52,2.6,20.0
P01_BLACK_E_take_0007,P01,BLACK,E,157,157,60,97,0,0,0.3821656050955414,0.6178343949044586,0.0,60,3.0,20.0
P01_BLACK_E_take_0008,P01,BLACK,E,158,158,50,108,0,0,0.31645569620253167,0.6835443037974683,0.0,50,2.5,20.0
P01_BLACK_E_take_0009,P01,BLACK,E,155,155,50,105,0,0,0.3225806451612903,0.6774193548387096,0.0,50,2.5,20.0
P01_BLACK_E_take_0010,P01,BLACK,E,160,160,48,112,0,0,0.3,0.7,0.0,48,2.4,20.0
P01_BLACK_I_take_0001,P01,BLACK,I,153,153,43,110,0,0,0.28104575163398693,0.7189542483660131,0.0,43,2.15,20.0
P01_BLACK_I_take_0002,P01,BLACK,I,155,155,49,106,0,0,0.3161290322580645,0.6838709677419355,0.0,49,2.45,20.0
P01_BLACK_I_take_0003,P01,BLACK,I,158,158,55,103,0,0,0.34810126582278483,0.6518987341772152,0.0,55,2.75,20.0
P01_BLACK_I_take_0004,P01,BLACK,I,156,156,29,127,0,0,0.1858974358974359,0.8141025641025641,0.0,29,1.45,20.0
P01_BLACK_I_take_0005,P01,BLACK,I,156,156,58,98,0,0,0.3717948717948718,0.6282051282051282,0.0,58,2.9,20.0
P01_BLACK_I_take_0006,P01,BLACK,I,155,155,46,109,0,0,0.2967741935483871,0.7032258064516129,0.0,46,2.3,20.0
P01_BLACK_I_take_0007,P01,BLACK,I,156,156,53,103,0,0,0.33974358974358976,0.6602564102564102,0.0,53,2.65,20.0
P01_BLACK_I_take_0008,P01,BLACK,I,158,158,54,104,0,0,0.34177215189873417,0.6582278481012658,0.0,54,2.7,20.0
P01_BLACK_I_take_0009,P01,BLACK,I,155,155,53,102,0,0,0.3419354838709677,0.6580645161290323,0.0,53,2.65,20.0
P01_BLACK_I_take_0010,P01,BLACK,I,158,158,51,107,0,0,0.3227848101265823,0.6772151898734177,0.0,51,2.55,20.0
P01_BLACK_L_take_0001,P01,BLACK,L,158,158,43,115,0,0,0.2721518987341772,0.7278481012658228,0.0,43,2.15,20.0
P01_BLACK_L_take_0002,P01,BLACK,L,155,155,45,110,0,0,0.2903225806451613,0.7096774193548387,0.0,45,2.25,20.0
P01_BLACK_L_take_0003,P01,BLACK,L,157,157,51,106,0,0,0.3248407643312102,0.6751592356687898,0.0,51,2.55,20.0
P01_BLACK_L_take_0004,P01,BLACK,L,158,158,59,99,0,0,0.37341772151898733,0.6265822784810127,0.0,59,2.95,20.0
P01_BLACK_L_take_0005,P01,BLACK,L,158,158,47,111,0,0,0.2974683544303797,0.7025316455696202,0.0,47,2.35,20.0
P01_BLACK_L_take_0006,P01,BLACK,L,158,158,48,110,0,0,0.3037974683544304,0.6962025316455697,0.0,48,2.4,20.0
P01_BLACK_L_take_0007,P01,BLACK,L,157,157,47,110,0,0,0.29936305732484075,0.7006369426751592,0.0,47,2.35,20.0
P01_BLACK_L_take_0008,P01,BLACK,L,159,159,51,108,0,0,0.32075471698113206,0.6792452830188679,0.0,51,2.55,20.0
P01_BLACK_L_take_0009,P01,BLACK,L,155,155,50,105,0,0,0.3225806451612903,0.6774193548387096,0.0,50,2.5,20.0
P01_BLACK_L_take_0010,P01,BLACK,L,155,155,44,111,0,0,0.2838709677419355,0.7161290322580646,0.0,44,2.2,20.0
P01_BLACK_M_take_0001,P01,BLACK,M,157,157,49,108,0,0,0.31210191082802546,0.6878980891719745,0.0,49,2.45,20.0
P01_BLACK_M_take_0002,P01,BLACK,M,158,158,46,112,0,0,0.2911392405063291,0.7088607594936709,0.0,46,2.3,20.0
P01_BLACK_M_take_0003,P01,BLACK,M,156,156,54,102,0,0,0.34615384615384615,0.6538461538461539,0.0,54,2.7,20.0
P01_BLACK_M_take_0004,P01,BLACK,M,157,157,48,109,0,0,0.3057324840764331,0.6942675159235668,0.0,48,2.4,20.0
P01_BLACK_M_take_0005,P01,BLACK,M,157,157,46,111,0,0,0.2929936305732484,0.7070063694267515,0.0,46,2.3,20.0
P01_BLACK_M_take_0006,P01,BLACK,M,160,160,56,104,0,0,0.35,0.65,0.0,56,2.8,20.0
P01_BLACK_M_take_0007,P01,BLACK,M,155,155,48,107,0,0,0.3096774193548387,0.6903225806451613,0.0,48,2.4,20.0
P01_BLACK_M_take_0008,P01,BLACK,M,162,162,52,110,0,0,0.32098765432098764,0.6790123456790124,0.0,52,2.6,20.0
P01_BLACK_M_take_0009,P01,BLACK,M,155,155,43,112,0,0,0.27741935483870966,0.7225806451612903,0.0,43,2.15,20.0
P01_BLACK_M_take_0010,P01,BLACK,M,158,158,51,107,0,0,0.3227848101265823,0.6772151898734177,0.0,51,2.55,20.0
P01_BLACK_N_take_0001,P01,BLACK,N,158,158,44,114,0,0,0.27848101265822783,0.7215189873417721,0.0,44,2.2,20.0
P01_BLACK_N_take_0002,P01,BLACK,N,155,155,46,109,0,0,0.2967741935483871,0.7032258064516129,0.0,46,2.3,20.0
P01_BLACK_N_take_0003,P01,BLACK,N,155,155,48,107,0,0,0.3096774193548387,0.6903225806451613,0.0,48,2.4,20.0
P01_BLACK_N_take_0004,P01,BLACK,N,157,157,47,110,0,0,0.29936305732484075,0.7006369426751592,0.0,47,2.35,20.0
P01_BLACK_N_take_0005,P01,BLACK,N,160,160,53,107,0,0,0.33125,0.66875,0.0,53,2.65,20.0
P01_BLACK_N_take_0006,P01,BLACK,N,161,161,58,103,0,0,0.36024844720496896,0.639751552795031,0.0,58,2.9,20.0
P01_BLACK_N_take_0007,P01,BLACK,N,158,158,47,111,0,0,0.2974683544303797,0.7025316455696202,0.0,47,2.35,20.0
P01_BLACK_N_take_0008,P01,BLACK,N,155,155,44,111,0,0,0.2838709677419355,0.7161290322580646,0.0,44,2.2,20.0
P01_BLACK_N_take_0009,P01,BLACK,N,156,156,44,112,0,0,0.28205128205128205,0.717948717948718,0.0,44,2.2,20.0
P01_BLACK_N_take_0010,P01,BLACK,N,155,155,40,115,0,0,0.25806451612903225,0.7419354838709677,0.0,40,2.0,20.0
P01_BLACK_O_take_0001,P01,BLACK,O,158,158,58,100,0,0,0.3670886075949367,0.6329113924050633,0.0,58,2.9,20.0
P01_BLACK_O_take_0002,P01,BLACK,O,159,159,60,99,0,0,0.37735849056603776,0.6226415094339622,0.0,60,3.0,20.0
P01_BLACK_O_take_0003,P01,BLACK,O,162,162,59,103,0,0,0.36419753086419754,0.6358024691358025,0.0,59,2.95,20.0
P01_BLACK_O_take_0004,P01,BLACK,O,156,156,51,105,0,0,0.3269230769230769,0.6730769230769231,0.0,51,2.55,20.0
P01_BLACK_O_take_0005,P01,BLACK,O,163,163,61,102,0,0,0.37423312883435583,0.6257668711656442,0.0,61,3.05,20.0
P01_BLACK_O_take_0006,P01,BLACK,O,156,156,48,108,0,0,0.3076923076923077,0.6923076923076923,0.0,48,2.4,20.0
P01_BLACK_O_take_0007,P01,BLACK,O,159,159,55,104,0,0,0.34591194968553457,0.6540880503144654,0.0,55,2.75,20.0
P01_BLACK_O_take_0008,P01,BLACK,O,157,157,50,107,0,0,0.3184713375796178,0.6815286624203821,0.0,50,2.5,20.0
P01_BLACK_O_take_0009,P01,BLACK,O,157,157,56,101,0,0,0.35668789808917195,0.643312101910828,0.0,56,2.8,20.0
P01_BLACK_O_take_0010,P01,BLACK,O,156,156,53,103,0,0,0.33974358974358976,0.6602564102564102,0.0,53,2.65,20.0
P01_BLACK_P_take_0001,P01,BLACK,P,158,158,54,104,0,0,0.34177215189873417,0.6582278481012658,0.0,54,2.7,20.0
P01_BLACK_P_take_0002,P01,BLACK,P,156,156,46,110,0,0,0.2948717948717949,0.7051282051282052,0.0,46,2.3,20.0
P01_BLACK_P_take_0003,P01,BLACK,P,157,157,52,105,0,0,0.33121019108280253,0.6687898089171974,0.0,52,2.6,20.0
P01_BLACK_P_take_0004,P01,BLACK,P,158,158,55,103,0,0,0.34810126582278483,0.6518987341772152,0.0,55,2.75,20.0
P01_BLACK_P_take_0005,P01,BLACK,P,157,157,47,110,0,0,0.29936305732484075,0.7006369426751592,0.0,47,2.35,20.0
P01_BLACK_P_take_0006,P01,BLACK,P,157,157,59,98,0,0,0.37579617834394907,0.6242038216560509,0.0,59,2.95,20.0
P01_BLACK_P_take_0007,P01,BLACK,P,159,159,52,107,0,0,0.3270440251572327,0.6729559748427673,0.0,52,2.6,20.0
P01_BLACK_P_take_0008,P01,BLACK,P,156,156,53,103,0,0,0.33974358974358976,0.6602564102564102,0.0,53,2.65,20.0
P01_BLACK_P_take_0009,P01,BLACK,P,158,158,55,103,0,0,0.34810126582278483,0.6518987341772152,0.0,55,2.75,20.0
P01_BLACK_P_take_0010,P01,BLACK,P,160,160,51,109,0,0,0.31875,0.68125,0.0,51,2.55,20.0
P01_BLACK_R_take_0001,P01,BLACK,R,155,155,47,108,0,0,0.3032258064516129,0.6967741935483871,0.0,47,2.35,20.0
P01_BLACK_R_take_0002,P01,BLACK,R,153,153,58,95,0,0,0.3790849673202614,0.6209150326797386,0.0,58,2.9,20.0
P01_BLACK_R_take_0003,P01,BLACK,R,155,155,47,108,0,0,0.3032258064516129,0.6967741935483871,0.0,47,2.35,20.0
P01_BLACK_R_take_0004,P01,BLACK,R,156,156,39,117,0,0,0.25,0.75,0.0,39,1.95,20.0
P01_BLACK_R_take_0005,P01,BLACK,R,156,156,51,105,0,0,0.3269230769230769,0.6730769230769231,0.0,51,2.55,20.0
P01_BLACK_R_take_0006,P01,BLACK,R,156,156,49,107,0,0,0.3141025641025641,0.6858974358974359,0.0,49,2.45,20.0
P01_BLACK_R_take_0007,P01,BLACK,R,156,156,48,108,0,0,0.3076923076923077,0.6923076923076923,0.0,48,2.4,20.0
P01_BLACK_R_take_0008,P01,BLACK,R,156,156,50,106,0,0,0.32051282051282054,0.6794871794871795,0.0,50,2.5,20.0
P01_BLACK_R_take_0009,P01,BLACK,R,157,157,47,110,0,0,0.29936305732484075,0.7006369426751592,0.0,47,2.35,20.0
P01_BLACK_R_take_0010,P01,BLACK,R,161,161,48,113,0,0,0.2981366459627329,0.7018633540372671,0.0,48,2.4,20.0
P01_BLACK_S_take_0001,P01,BLACK,S,162,162,55,107,0,0,0.3395061728395062,0.6604938271604939,0.0,55,2.75,20.0
P01_BLACK_S_take_0002,P01,BLACK,S,158,158,60,98,0,0,0.379746835443038,0.620253164556962,0.0,60,3.0,20.0
P01_BLACK_S_take_0003,P01,BLACK,S,160,160,58,102,0,0,0.3625,0.6375,0.0,58,2.9,20.0
P01_BLACK_S_take_0004,P01,BLACK,S,157,157,50,107,0,0,0.3184713375796178,0.6815286624203821,0.0,50,2.5,20.0
P01_BLACK_S_take_0005,P01,BLACK,S,161,161,53,108,0,0,0.32919254658385094,0.6708074534161491,0.0,53,2.65,20.0
P01_BLACK_S_take_0006,P01,BLACK,S,157,157,51,106,0,0,0.3248407643312102,0.6751592356687898,0.0,51,2.55,20.0
P01_BLACK_S_take_0007,P01,BLACK,S,160,160,52,108,0,0,0.325,0.675,0.0,52,2.6,20.0
P01_BLACK_S_take_0008,P01,BLACK,S,159,159,50,109,0,0,0.31446540880503143,0.6855345911949685,0.0,50,2.5,20.0
P01_BLACK_S_take_0009,P01,BLACK,S,158,158,60,98,0,0,0.379746835443038,0.620253164556962,0.0,60,3.0,20.0
P01_BLACK_S_take_0010,P01,BLACK,S,158,158,54,104,0,0,0.34177215189873417,0.6582278481012658,0.0,54,2.7,20.0
P01_BLACK_T_take_0001,P01,BLACK,T,164,164,58,106,0,0,0.35365853658536583,0.6463414634146342,0.0,58,2.9,20.0
P01_BLACK_T_take_0002,P01,BLACK,T,157,157,52,105,0,0,0.33121019108280253,0.6687898089171974,0.0,52,2.6,20.0
P01_BLACK_T_take_0003,P01,BLACK,T,156,156,49,107,0,0,0.3141025641025641,0.6858974358974359,0.0,49,2.45,20.0
P01_BLACK_T_take_0004,P01,BLACK,T,155,155,46,109,0,0,0.2967741935483871,0.7032258064516129,0.0,46,2.3,20.0
P01_BLACK_T_take_0005,P01,BLACK,T,157,157,50,107,0,0,0.3184713375796178,0.6815286624203821,0.0,50,2.5,20.0
P01_BLACK_T_take_0006,P01,BLACK,T,155,155,40,115,0,0,0.25806451612903225,0.7419354838709677,0.0,40,2.0,20.0
P01_BLACK_T_take_0007,P01,BLACK,T,156,156,48,108,0,0,0.3076923076923077,0.6923076923076923,0.0,48,2.4,20.0
P01_BLACK_T_take_0008,P01,BLACK,T,156,156,53,103,0,0,0.33974358974358976,0.6602564102564102,0.0,53,2.65,20.0
P01_BLACK_T_take_0009,P01,BLACK,T,155,155,52,103,0,0,0.33548387096774196,0.6645161290322581,0.0,52,2.6,20.0
P01_BLACK_T_take_0010,P01,BLACK,T,156,156,54,102,0,0,0.34615384615384615,0.6538461538461539,0.0,54,2.7,20.0
P01_BLACK_U_take_0001,P01,BLACK,U,155,155,45,110,0,0,0.2903225806451613,0.7096774193548387,0.0,45,2.25,20.0
P01_BLACK_U_take_0002,P01,BLACK,U,154,154,46,108,0,0,0.2987012987012987,0.7012987012987013,0.0,46,2.3,20.0
P01_BLACK_U_take_0003,P01,BLACK,U,155,155,48,107,0,0,0.3096774193548387,0.6903225806451613,0.0,48,2.4,20.0
P01_BLACK_U_take_0004,P01,BLACK,U,154,154,45,109,0,0,0.2922077922077922,0.7077922077922078,0.0,45,2.25,20.0
P01_BLACK_U_take_0005,P01,BLACK,U,152,152,46,106,0,0,0.3026315789473684,0.6973684210526315,0.0,46,2.3,20.0
P01_BLACK_U_take_0006,P01,BLACK,U,154,154,46,108,0,0,0.2987012987012987,0.7012987012987013,0.0,46,2.3,20.0
P01_BLACK_U_take_0007,P01,BLACK,U,152,152,46,106,0,0,0.3026315789473684,0.6973684210526315,0.0,46,2.3,20.0
P01_BLACK_U_take_0008,P01,BLACK,U,155,155,46,109,0,0,0.2967741935483871,0.7032258064516129,0.0,46,2.3,20.0
P01_BLACK_U_take_0009,P01,BLACK,U,153,153,47,106,0,0,0.30718954248366015,0.6928104575163399,0.0,47,2.35,20.0
P01_BLACK_U_take_0010,P01,BLACK,U,151,151,43,108,0,0,0.2847682119205298,0.7152317880794702,0.0,43,2.15,20.0
P01_BLACK_V_take_0001,P01,BLACK,V,155,155,51,104,0,0,0.32903225806451614,0.6709677419354839,0.0,51,2.55,20.0
P01_BLACK_V_take_0002,P01,BLACK,V,156,156,52,104,0,0,0.3333333333333333,0.6666666666666666,0.0,52,2.6,20.0
P01_BLACK_V_take_0003,P01,BLACK,V,160,160,46,114,0,0,0.2875,0.7125,0.0,46,2.3,20.0
P01_BLACK_V_take_0004,P01,BLACK,V,159,159,58,101,0,0,0.36477987421383645,0.6352201257861635,0.0,58,2.9,20.0
P01_BLACK_V_take_0005,P01,BLACK,V,157,157,50,107,0,0,0.3184713375796178,0.6815286624203821,0.0,50,2.5,20.0
P01_BLACK_V_take_0006,P01,BLACK,V,158,158,52,106,0,0,0.3291139240506329,0.6708860759493671,0.0,52,2.6,20.0
P01_BLACK_V_take_0007,P01,BLACK,V,159,159,45,114,0,0,0.2830188679245283,0.7169811320754716,0.0,45,2.25,20.0
P01_BLACK_V_take_0008,P01,BLACK,V,156,156,53,103,0,0,0.33974358974358976,0.6602564102564102,0.0,53,2.65,20.0
P01_BLACK_V_take_0009,P01,BLACK,V,158,158,48,110,0,0,0.3037974683544304,0.6962025316455697,0.0,48,2.4,20.0
P01_BLACK_V_take_0010,P01,BLACK,V,160,160,51,109,0,0,0.31875,0.68125,0.0,51,2.55,20.0
P01_BLACK_W_take_0001,P01,BLACK,W,156,156,51,105,0,0,0.3269230769230769,0.6730769230769231,0.0,51,2.55,20.0
P01_BLACK_W_take_0002,P01,BLACK,W,156,156,52,104,0,0,0.3333333333333333,0.6666666666666666,0.0,52,2.6,20.0
P01_BLACK_W_take_0003,P01,BLACK,W,158,158,53,105,0,0,0.33544303797468356,0.6645569620253164,0.0,53,2.65,20.0
P01_BLACK_W_take_0004,P01,BLACK,W,157,157,47,110,0,0,0.29936305732484075,0.7006369426751592,0.0,47,2.35,20.0
P01_BLACK_W_take_0005,P01,BLACK,W,156,156,54,102,0,0,0.34615384615384615,0.6538461538461539,0.0,54,2.7,20.0
P01_BLACK_W_take_0006,P01,BLACK,W,155,155,56,99,0,0,0.36129032258064514,0.6387096774193548,0.0,56,2.8,20.0
P01_BLACK_W_take_0007,P01,BLACK,W,156,156,47,109,0,0,0.30128205128205127,0.6987179487179487,0.0,47,2.35,20.0
P01_BLACK_W_take_0008,P01,BLACK,W,155,155,45,110,0,0,0.2903225806451613,0.7096774193548387,0.0,45,2.25,20.0
P01_BLACK_W_take_0009,P01,BLACK,W,155,155,51,104,0,0,0.32903225806451614,0.6709677419354839,0.0,51,2.55,20.0
P01_BLACK_W_take_0010,P01,BLACK,W,155,155,55,100,0,0,0.3548387096774194,0.6451612903225806,0.0,55,2.75,20.0
P01_BLACK_Y_take_0001,P01,BLACK,Y,159,159,49,110,0,0,0.3081761006289308,0.6918238993710691,0.0,49,2.45,20.0
P01_BLACK_Y_take_0002,P01,BLACK,Y,158,158,54,104,0,0,0.34177215189873417,0.6582278481012658,0.0,54,2.7,20.0
P01_BLACK_Y_take_0003,P01,BLACK,Y,161,161,47,114,0,0,0.2919254658385093,0.7080745341614907,0.0,47,2.35,20.0
P01_BLACK_Y_take_0004,P01,BLACK,Y,157,157,51,106,0,0,0.3248407643312102,0.6751592356687898,0.0,51,2.55,20.0
P01_BLACK_Y_take_0005,P01,BLACK,Y,160,160,55,105,0,0,0.34375,0.65625,0.0,55,2.75,20.0
P01_BLACK_Y_take_0006,P01,BLACK,Y,163,163,56,107,0,0,0.34355828220858897,0.656441717791411,0.0,56,2.8,20.0
P01_BLACK_Y_take_0007,P01,BLACK,Y,159,159,45,114,0,0,0.2830188679245283,0.7169811320754716,0.0,45,2.25,20.0
P01_BLACK_Y_take_0008,P01,BLACK,Y,157,157,47,110,0,0,0.29936305732484075,0.7006369426751592,0.0,47,2.35,20.0
P01_BLACK_Y_take_0009,P01,BLACK,Y,161,161,57,104,0,0,0.35403726708074534,0.6459627329192547,0.0,57,2.85,20.0
P01_BLACK_Y_take_0010,P01,BLACK,Y,161,161,50,111,0,0,0.3105590062111801,0.6894409937888198,0.0,50,2.5,20.0
P01_BLUE_A_take_0001,P01,BLUE,A,165,165,53,112,0,0,0.3212121212121212,0.6787878787878788,0.0,53,2.65,20.0
P01_BLUE_A_take_0002,P01,BLUE,A,166,166,47,119,0,0,0.28313253012048195,0.7168674698795181,0.0,47,2.35,20.0
P01_BLUE_A_take_0003,P01,BLUE,A,164,164,51,113,0,0,0.31097560975609756,0.6890243902439024,0.0,51,2.55,20.0
P01_BLUE_A_take_0004,P01,BLUE,A,160,160,57,103,0,0,0.35625,0.64375,0.0,57,2.85,20.0
P01_BLUE_A_take_0005,P01,BLUE,A,157,157,46,111,0,0,0.2929936305732484,0.7070063694267515,0.0,46,2.3,20.0
P01_BLUE_A_take_0006,P01,BLUE,A,161,161,47,114,0,0,0.2919254658385093,0.7080745341614907,0.0,47,2.35,20.0
P01_BLUE_A_take_0007,P01,BLUE,A,168,168,55,113,0,0,0.3273809523809524,0.6726190476190477,0.0,55,2.75,20.0
P01_BLUE_A_take_0008,P01,BLUE,A,165,165,47,118,0,0,0.28484848484848485,0.7151515151515152,0.0,47,2.35,20.0
P01_BLUE_A_take_0009,P01,BLUE,A,165,165,51,114,0,0,0.3090909090909091,0.6909090909090909,0.0,51,2.55,20.0
P01_BLUE_A_take_0010,P01,BLUE,A,166,166,53,113,0,0,0.3192771084337349,0.6807228915662651,0.0,53,2.65,20.0
P01_BLUE_B_take_0001,P01,BLUE,B,164,164,45,119,0,0,0.27439024390243905,0.725609756097561,0.0,45,2.25,20.0
P01_BLUE_B_take_0002,P01,BLUE,B,163,163,50,113,0,0,0.3067484662576687,0.6932515337423313,0.0,50,2.5,20.0
P01_BLUE_B_take_0003,P01,BLUE,B,163,163,51,112,0,0,0.3128834355828221,0.6871165644171779,0.0,51,2.55,20.0
P01_BLUE_B_take_0004,P01,BLUE,B,165,165,50,115,0,0,0.30303030303030304,0.696969696969697,0.0,50,2.5,20.0
P01_BLUE_B_take_0005,P01,BLUE,B,163,163,49,114,0,0,0.3006134969325153,0.6993865030674846,0.0,49,2.45,20.0
P01_BLUE_B_take_0006,P01,BLUE,B,158,158,49,109,0,0,0.310126582278481,0.689873417721519,0.0,49,2.45,20.0
P01_BLUE_B_take_0007,P01,BLUE,B,161,161,51,110,0,0,0.3167701863354037,0.6832298136645962,0.0,51,2.55,20.0
P01_BLUE_B_take_0008,P01,BLUE,B,159,159,50,109,0,0,0.31446540880503143,0.6855345911949685,0.0,50,2.5,20.0
P01_BLUE_B_take_0009,P01,BLUE,B,164,164,51,113,0,0,0.31097560975609756,0.6890243902439024,0.0,51,2.55,20.0
P01_BLUE_B_take_0010,P01,BLUE,B,163,163,43,120,0,0,0.26380368098159507,0.7361963190184049,0.0,43,2.15,20.0
P01_BLUE_C_take_0001,P01,BLUE,C,166,166,41,125,0,0,0.2469879518072289,0.7530120481927711,0.0,41,2.05,20.0
P01_BLUE_C_take_0002,P01,BLUE,C,161,161,46,115,0,0,0.2857142857142857,0.7142857142857143,0.0,46,2.3,20.0
P01_BLUE_C_take_0003,P01,BLUE,C,161,161,49,112,0,0,0.30434782608695654,0.6956521739130435,0.0,49,2.45,20.0
P01_BLUE_C_take_0004,P01,BLUE,C,162,162,56,106,0,0,0.345679012345679,0.654320987654321,0.0,56,2.8,20.0
P01_BLUE_C_take_0005,P01,BLUE,C,165,165,55,110,0,0,0.3333333333333333,0.6666666666666666,0.0,55,2.75,20.0
P01_BLUE_C_take_0006,P01,BLUE,C,163,163,43,120,0,0,0.26380368098159507,0.7361963190184049,0.0,43,2.15,20.0
P01_BLUE_C_take_0007,P01,BLUE,C,164,164,49,115,0,0,0.29878048780487804,0.7012195121951219,0.0,49,2.45,20.0
P01_BLUE_C_take_0008,P01,BLUE,C,161,161,50,111,0,0,0.3105590062111801,0.6894409937888198,0.0,50,2.5,20.0
P01_BLUE_C_take_0009,P01,BLUE,C,158,158,38,120,0,0,0.24050632911392406,0.759493670886076,0.0,38,1.9,20.0
P01_BLUE_C_take_0010,P01,BLUE,C,159,159,54,105,0,0,0.33962264150943394,0.660377358490566,0.0,54,2.7,20.0
P01_BLUE_E_take_0001,P01,BLUE,E,164,164,43,121,0,0,0.2621951219512195,0.7378048780487805,0.0,43,2.15,20.0
