gesture_id,public_subject_id,background,run_found,run_path
B,P03,BLUE,1,training/P03/BLUE/B/runs/run_20260926_150002_741064_p26772
B,P03,WHITE,1,training/P03/WHITE/B/runs/run_20260926_150005_118591_p20916
B,P04,BLACK,1,training/P04/BLACK/B/runs/run_20260926_150007_373647_p18804
B,P04,BLUE,1,training/P04/BLUE/B/runs/run_20260926_150009_587749_p12404
B,P04,WHITE,1,training/P04/WHITE/B/runs/run_20260926_150011_829316_p14644
B,P05,BLACK,1,training/P05/BLACK/B/runs/run_20260926_150014_039386_p3148
B,P05,BLUE,1,training/P05/BLUE/B/runs/run_20260926_150016_237408_p26832
B,P05,WHITE,1,training/P05/WHITE/B/runs/run_20260926_150018_511461_p26360
C,P01,BLACK,1,training/P01/BLACK/C/runs/run_20260926_145945_446736_p27064
C,P01,BLUE,1,training/P01/BLUE/C/runs/run_20260926_145947_982338_p13588
C,P01,WHITE,1,training/P01/WHITE/C/runs/run_20260926_145950_464527_p11480
C,P02,BLACK,1,training/P02/BLACK/C/runs/run_20260926_145952_975148_p8564
C,P02,BLUE,1,training/P02/BLUE/C/runs/run_20260926_145955_455752_p18060
C,P02,WHITE,1,training/P02/WHITE/C/runs/run_20260926_145957_775858_p27596
C,P03,BLACK,1,training/P03/BLACK/C/runs/run_20260926_150000_241978_p26772
C,P03,BLUE,1,training/P03/BLUE/C/runs/run_20260926_150002_738064_p20916
C,P03,WHITE,1,training/P03/WHITE/C/runs/run_20260926_150005_128592_p18804
C,P04,BLACK,1,training/P04/BLACK/C/runs/run_20260926_150007_379648_p12404
C,P04,BLUE,1,training/P04/BLUE/C/runs/run_20260926_150009_616751_p14644
C,P04,WHITE,1,training/P04/WHITE/C/runs/run_20260926_150011_822315_p3148
C,P05,BLACK,1,training/P05/BLACK/C/runs/run_20260926_150014_039386_p26832
C,P05,BLUE,1,training/P05/BLUE/C/runs/run_20260926_150016_237907_p26360
C,P05,WHITE,1,training/P05/WHITE/C/runs/run_20260926_150020_842945_p14120
E,P01,BLACK,1,training/P01/BLACK/E/runs/run_20260926_145945_448234_p13588
E,P01,BLUE,1,training/P01/BLUE/E/runs/run_20260926_145947_972838_p11480
E,P01,WHITE,1,training/P01/WHITE/E/runs/run_20260926_145950_466527_p8564
E,P02,BLACK,1,training/P02/BLACK/E/runs/run_20260926_145952_963642_p18060
E,P02,BLUE,1,training/P02/BLUE/E/runs/run_20260926_145955_456252_p27596
E,P02,WHITE,1,training/P02/WHITE/E/runs/run_20260926_145957_776358_p26772
E,P03,BLACK,1,training/P03/BLACK/E/runs/run_20260926_150000_239477_p20916
E,P03,BLUE,1,training/P03/BLUE/E/runs/run_20260926_150002_748563_p18804
E,P03,WHITE,1,training/P03/WHITE/E/runs/run_20260926_150005_126591_p12404
E,P04,BLACK,1,training/P04/BLACK/E/runs/run_20260926_150007_380648_p14644
E,P04,BLUE,1,training/P04/BLUE/E/runs/run_20260926_150009_591249_p3148
E,P04,WHITE,1,training/P04/WHITE/E/runs/run_20260926_150011_828816_p26832
E,P05,BLACK,1,training/P05/BLACK/E/runs/run_20260926_150014_039886_p26360
E,P05,BLUE,1,training/P05/BLUE/E/runs/run_20260926_150018_509461_p14120
E,P05,WHITE,1,training/P05/WHITE/E/runs/run_20260926_150020_852446_p25540
I,P01,BLACK,1,training/P01/BLACK/I/runs/run_20260926_145945_444735_p11480
I,P01,BLUE,1,training/P01/BLUE/I/runs/run_20260926_145947_983838_p8564
I,P01,WHITE,1,training/P01/WHITE/I/runs/run_20260926_145950_466026_p18060
I,P02,BLACK,1,training/P02/BLACK/I/runs/run_20260926_145952_965145_p27596
I,P02,BLUE,1,training/P02/BLUE/I/runs/run_20260926_145955_410251_p26772
I,P02,WHITE,1,training/P02/WHITE/I/runs/run_20260926_145957_774356_p20916
I,P03,BLACK,1,training/P03/BLACK/I/runs/run_20260926_150000_242478_p18804
I,P03,BLUE,1,training/P03/BLUE/I/runs/run_20260926_150002_744564_p12404
I,P03,WHITE,1,training/P03/WHITE/I/runs/run_20260926_150005_118591_p14644
I,P04,BLACK,1,training/P04/BLACK/I/runs/run_20260926_150007_381148_p3148
I,P04,BLUE,1,training/P04/BLUE/I/runs/run_20260926_150009_579751_p26832
I,P04,WHITE,1,training/P04/WHITE/I/runs/run_20260926_150011_828816_p26360
I,P05,BLACK,1,training/P05/BLACK/I/runs/run_20260926_150016_248408_p14120
I,P05,BLUE,1,training/P05/BLUE/I/runs/run_20260926_150018_502460_p25540
I,P05,WHITE,1,training/P05/WHITE/I/runs/run_20260926_150020_853946_p27064
L,P01,BLACK,1,training/P01/BLACK/L/runs/run_20260926_145945_443736_p8564
L,P01,BLUE,1,training/P01/BLUE/L/runs/run_20260926_145947_973838_p18060
L,P01,WHITE,1,training/P01/WHITE/L/runs/run_20260926_145950_464527_p27596
L,P02,BLACK,1,training/P02/BLACK/L/runs/run_20260926_145952_975148_p26772
L,P02,BLUE,1,training/P02/BLUE/L/runs/run_20260926_145955_462750_p20916
L,P02,WHITE,1,training/P02/WHITE/L/runs/run_20260926_145957_786358_p18804
L,P03,BLACK,1,training/P03/BLACK/L/runs/run_20260926_150000_240478_p12404
L,P03,BLUE,1,training/P03/BLUE/L/runs/run_20260926_150002_738565_p14644
L,P03,WHITE,1,training/P03/WHITE/L/runs/run_20260926_150005_127591_p3148
L,P04,BLACK,1,training/P04/BLACK/L/runs/run_20260926_150007_380648_p26832
L,P04,BLUE,1,training/P04/BLUE/L/runs/run_20260926_150009_590750_p26360
L,P04,WHITE,1,training/P04/WHITE/L/runs/run_20260926_150014_052887_p14120
L,P05,BLACK,1,training/P05/BLACK/L/runs/run_20260926_150016_246908_p25540
L,P05,BLUE,1,training/P05/BLUE/L/runs/run_20260926_150018_511461_p27064
L,P05,WHITE,1,training/P05/WHITE/L/runs/run_20260926_150020_852945_p13588
M,P01,BLACK,1,training/P01/BLACK/M/runs/run_20260926_145945_441237_p18060
M,P01,BLUE,1,training/P01/BLUE/M/runs/run_20260926_145947_981838_p27596
M,P01,WHITE,1,training/P01/WHITE/M/runs/run_20260926_145950_455527_p26772
M,P02,BLACK,1,training/P02/BLACK/M/runs/run_20260926_145952_967644_p20916
M,P02,BLUE,1,training/P02/BLUE/M/runs/run_20260926_145955_457251_p18804
M,P02,WHITE,1,training/P02/WHITE/M/runs/run_20260926_145957_781357_p12404
M,P03,BLACK,1,training/P03/BLACK/M/runs/run_20260926_150000_243477_p14644
M,P03,BLUE,1,training/P03/BLUE/M/runs/run_20260926_150002_740065_p3148
M,P03,WHITE,1,training/P03/WHITE/M/runs/run_20260926_150005_129092_p26832
M,P04,BLACK,1,training/P04/BLACK/M/runs/run_20260926_150007_371647_p26360
M,P04,BLUE,1,training/P04/BLUE/M/runs/run_20260926_150011_827815_p14120
M,P04,WHITE,1,training/P04/WHITE/M/runs/run_20260926_150014_052386_p25540
M,P05,BLACK,1,training/P05/BLACK/M/runs/run_20260926_150016_239409_p27064
M,P05,BLUE,1,training/P05/BLUE/M/runs/run_20260926_150018_511461_p13588
M,P05,WHITE,1,training/P05/WHITE/M/runs/run_20260926_150020_854446_p11480
N,P01,BLACK,1,training/P01/BLACK/N/runs/run_20260926_145945_437734_p27596
N,P01,BLUE,1,training/P01/BLUE/N/runs/run_20260926_145947_978838_p26772
N,P01,WHITE,1,training/P01/WHITE/N/runs/run_20260926_145950_459527_p20916
N,P02,BLACK,1,training/P02/BLACK/N/runs/run_20260926_145952_964644_p18804
N,P02,BLUE,1,training/P02/BLUE/N/runs/run_20260926_145955_468251_p12404
N,P02,WHITE,1,training/P02/WHITE/N/runs/run_20260926_145957_777358_p14644
N,P03,BLACK,1,training/P03/BLACK/N/runs/run_20260926_150000_240977_p3148
N,P03,BLUE,1,training/P03/BLUE/N/runs/run_20260926_150002_749564_p26832
N,P03,WHITE,1,training/P03/WHITE/N/runs/run_20260926_150005_125090_p26360
N,P04,BLACK,1,training/P04/BLACK/N/runs/run_20260926_150009_615251_p14120
N,P04,BLUE,1,training/P04/BLUE/N/runs/run_20260926_150011_820315_p25540
N,P04,WHITE,1,training/P04/WHITE/N/runs/run_20260926_150014_049888_p27064
N,P05,BLACK,1,training/P05/BLACK/N/runs/run_20260926_150016_239909_p13588
N,P05,BLUE,1,training/P05/BLUE/N/runs/run_20260926_150018_510961_p11480
N,P05,WHITE,1,training/P05/WHITE/N/runs/run_20260926_150020_853447_p8564
O,P01,BLACK,1,training/P01/BLACK/O/runs/run_20260926_145945_441736_p26772
O,P01,BLUE,1,training/P01/BLUE/O/runs/run_20260926_145947_976340_p20916
O,P01,WHITE,1,training/P01/WHITE/O/runs/run_20260926_145950_457027_p18804
O,P02,BLACK,1,training/P02/BLACK/O/runs/run_20260926_145952_975148_p12404
O,P02,BLUE,1,training/P02/BLUE/O/runs/run_20260926_145955_462750_p14644
O,P02,WHITE,1,training/P02/WHITE/O/runs/run_20260926_145957_785357_p3148
O,P03,BLACK,1,training/P03/BLACK/O/runs/run_20260926_150000_242478_p26832
O,P03,BLUE,1,training/P03/BLUE/O/runs/run_20260926_150002_742566_p26360
O,P03,WHITE,1,training/P03/WHITE/O/runs/run_20260926_150007_371147_p14120
O,P04,BLACK,1,training/P04/BLACK/O/runs/run_20260926_150009_599250_p25540
O,P04,BLUE,1,training/P04/BLUE/O/runs/run_20260926_150011_817815_p27064
O,P04,WHITE,1,training/P04/WHITE/O/runs/run_20260926_150014_052386_p13588
O,P05,BLACK,1,training/P05/BLACK/O/runs/run_20260926_150016_247908_p11480
O,P05,BLUE,1,training/P05/BLUE/O/runs/run_20260926_150018_511461_p8564
O,P05,WHITE,1,training/P05/WHITE/O/runs/run_20260926_150020_853946_p18060
P,P01,BLACK,1,training/P01/BLACK/P/runs/run_20260926_145945_409733_p20916
P,P01,BLUE,1,training/P01/BLUE/P/runs/run_20260926_145947_977338_p18804
P,P01,WHITE,1,training/P01/WHITE/P/runs/run_20260926_145950_458527_p12404
P,P02,BLACK,1,training/P02/BLACK/P/runs/run_20260926_145952_974147_p14644
P,P02,BLUE,1,training/P02/BLUE/P/runs/run_20260926_145955_449752_p3148
P,P02,WHITE,1,training/P02/WHITE/P/runs/run_20260926_145957_785856_p26832
P,P03,BLACK,1,training/P03/BLACK/P/runs/run_20260926_150000_231978_p26360
P,P03,BLUE,1,training/P03/BLUE/P/runs/run_20260926_150005_119091_p14120
P,P03,WHITE,1,training/P03/WHITE/P/runs/run_20260926_150007_380149_p25540
P,P04,BLACK,1,training/P04/BLACK/P/runs/run_20260926_150009_589749_p27064
P,P04,BLUE,1,training/P04/BLUE/P/runs/run_20260926_150011_830317_p13588
P,P04,WHITE,1,training/P04/WHITE/P/runs/run_20260926_150014_039386_p11480
P,P05,BLACK,1,training/P05/BLACK/P/runs/run_20260926_150016_247409_p8564
P,P05,BLUE,1,training/P05/BLUE/P/runs/run_20260926_150018_511461_p18060
P,P05,WHITE,1,training/P05/WHITE/P/runs/run_20260926_150020_842945_p27596
R,P01,BLACK,1,training/P01/BLACK/R/runs/run_20260926_145945_436734_p18804
R,P01,BLUE,1,training/P01/BLUE/R/runs/run_20260926_145947_983838_p12404
R,P01,WHITE,1,training/P01/WHITE/R/runs/run_20260926_145950_465526_p14644
R,P02,BLACK,1,training/P02/BLACK/R/runs/run_20260926_145952_974147_p3148
R,P02,BLUE,1,training/P02/BLUE/R/runs/run_20260926_145955_464251_p26832
R,P02,WHITE,1,training/P02/WHITE/R/runs/run_20260926_145957_785856_p26360
R,P03,BLACK,1,training/P03/BLACK/R/runs/run_20260926_150002_749064_p14120
R,P03,BLUE,1,training/P03/BLUE/R/runs/run_20260926_150005_119091_p25540
R,P03,WHITE,1,training/P03/WHITE/R/runs/run_20260926_150007_370647_p27064
R,P04,BLACK,1,training/P04/BLACK/R/runs/run_20260926_150009_581249_p13588
R,P04,BLUE,1,training/P04/BLUE/R/runs/run_20260926_150011_824316_p11480
R,P04,WHITE,1,training/P04/WHITE/R/runs/run_20260926_150014_050887_p8564
R,P05,BLACK,1,training/P05/BLACK/R/runs/run_20260926_150016_247409_p18060
R,P05,BLUE,1,training/P05/BLUE/R/runs/run_20260926_150018_502961_p27596
R,P05,WHITE,1,training/P05/WHITE/R/runs/run_20260926_150020_853946_p26772
S,P01,BLACK,1,training/P01/BLACK/S/runs/run_20260926_145945_447234_p12404
S,P01,BLUE,1,training/P01/BLUE/S/runs/run_20260926_145947_982837_p14644
S,P01,WHITE,1,training/P01/WHITE/S/runs/run_20260926_145950_466026_p3148
S,P02,BLACK,1,training/P02/BLACK/S/runs/run_20260926_145952_965145_p26832
S,P02,BLUE,1,training/P02/BLUE/S/runs/run_20260926_145955_402752_p26360
S,P02,WHITE,1,training/P02/WHITE/S/runs/run_20260926_150000_232477_p14120
S,P03,BLACK,1,training/P03/BLACK/S/runs/run_20260926_150002_750065_p25540
S,P03,BLUE,1,training/P03/BLUE/S/runs/run_20260926_150005_120091_p27064
S,P03,WHITE,1,training/P03/WHITE/S/runs/run_20260926_150007_372647_p13588
S,P04,BLACK,1,training/P04/BLACK/S/runs/run_20260926_150009_606750_p11480
S,P04,BLUE,1,training/P04/BLUE/S/runs/run_20260926_150011_826816_p8564
S,P04,WHITE,1,training/P04/WHITE/S/runs/run_20260926_150014_049388_p18060
S,P05,BLACK,1,training/P05/BLACK/S/runs/run_20260926_150016_238908_p27596
S,P05,BLUE,1,training/P05/BLUE/S/runs/run_20260926_150018_511461_p26772
S,P05,WHITE,1,training/P05/WHITE/S/runs/run_20260926_150020_854946_p20916
T,P01,BLACK,1,training/P01/BLACK/T/runs/run_20260926_145945_440236_p14644
T,P01,BLUE,1,training/P01/BLUE/T/runs/run_20260926_145947_981339_p3148
T,P01,WHITE,1,training/P01/WHITE/T/runs/run_20260926_145950_464026_p26832
T,P02,BLACK,1,training/P02/BLACK/T/runs/run_20260926_145952_963642_p26360
T,P02,BLUE,1,training/P02/BLUE/T/runs/run_20260926_145957_785856_p14120
T,P02,WHITE,1,training/P02/WHITE/T/runs/run_20260926_150000_232977_p25540
T,P03,BLACK,1,training/P03/BLACK/T/runs/run_20260926_150002_749564_p27064
T,P03,BLUE,1,training/P03/BLUE/T/runs/run_20260926_150005_128093_p13588
T,P03,WHITE,1,training/P03/WHITE/T/runs/run_20260926_150007_371147_p11480
T,P04,BLACK,1,training/P04/BLACK/T/runs/run_20260926_150009_580749_p8564
T,P04,BLUE,1,training/P04/BLUE/T/runs/run_20260926_150011_827316_p18060
T,P04,WHITE,1,training/P04/WHITE/T/runs/run_20260926_150014_042886_p27596
T,P05,BLACK,1,training/P05/BLACK/T/runs/run_20260926_150016_240908_p26772
T,P05,BLUE,1,training/P05/BLUE/T/runs/run_20260926_150018_505461_p20916
T,P05,WHITE,1,training/P05/WHITE/T/runs/run_20260926_150020_853946_p18804
U,P01,BLACK,1,training/P01/BLACK/U/runs/run_20260926_145945_448234_p3148
U,P01,BLUE,1,training/P01/BLUE/U/runs/run_20260926_145947_975338_p26832
U,P01,WHITE,1,training/P01/WHITE/U/runs/run_20260926_145950_462027_p26360
U,P02,BLACK,1,training/P02/BLACK/U/runs/run_20260926_145955_455752_p14120
U,P02,BLUE,1,training/P02/BLUE/U/runs/run_20260926_145957_787357_p25540
U,P02,WHITE,1,training/P02/WHITE/U/runs/run_20260926_150000_243977_p27064
U,P03,BLACK,1,training/P03/BLACK/U/runs/run_20260926_150002_748064_p13588
U,P03,BLUE,1,training/P03/BLUE/U/runs/run_20260926_150005_128093_p11480
U,P03,WHITE,1,training/P03/WHITE/U/runs/run_20260926_150007_381148_p8564
U,P04,BLACK,1,training/P04/BLACK/U/runs/run_20260926_150009_615251_p18060
U,P04,BLUE,1,training/P04/BLUE/U/runs/run_20260926_150011_821815_p27596
U,P04,WHITE,1,training/P04/WHITE/U/runs/run_20260926_150014_052887_p26772
U,P05,BLACK,1,training/P05/BLACK/U/runs/run_20260926_150016_246908_p20916
U,P05,BLUE,1,training/P05/BLUE/U/runs/run_20260926_150018_503960_p18804
U,P05,WHITE,1,training/P05/WHITE/U/runs/run_20260926_150020_854946_p12404
V,P01,BLACK,1,training/P01/BLACK/V/runs/run_20260926_145945_442234_p26832
V,P01,BLUE,1,training/P01/BLUE/V/runs/run_20260926_145947_982338_p26360
V,P01,WHITE,1,training/P01/WHITE/V/runs/run_20260926_145952_965145_p14120
V,P02,BLACK,1,training/P02/BLACK/V/runs/run_20260926_145955_459252_p25540
V,P02,BLUE,1,training/P02/BLUE/V/runs/run_20260926_145957_785357_p27064
V,P02,WHITE,1,training/P02/WHITE/V/runs/run_20260926_150000_231477_p13588
V,P03,BLACK,1,training/P03/BLACK/V/runs/run_20260926_150002_739065_p11480
V,P03,BLUE,1,training/P03/BLUE/V/runs/run_20260926_150005_129591_p8564
V,P03,WHITE,1,training/P03/WHITE/V/runs/run_20260926_150007_381148_p18060
V,P04,BLACK,1,training/P04/BLACK/V/runs/run_20260926_150009_603750_p27596
V,P04,BLUE,1,training/P04/BLUE/V/runs/run_20260926_150011_827316_p26772
V,P04,WHITE,1,training/P04/WHITE/V/runs/run_20260926_150014_041386_p20916
V,P05,BLACK,1,training/P05/BLACK/V/runs/run_20260926_150016_239409_p18804
V,P05,BLUE,1,training/P05/BLUE/V/runs/run_20260926_150018_501961_p12404
V,P05,WHITE,1,training/P05/WHITE/V/runs/run_20260926_150020_852446_p14644
W,P01,BLACK,1,training/P01/BLACK/W/runs/run_20260926_145945_444235_p26360
W,P01,BLUE,1,training/P01/BLUE/W/runs/run_20260926_145950_456527_p14120
W,P01,WHITE,1,training/P01/WHITE/W/runs/run_20260926_145952_965643_p25540
W,P02,BLACK,1,training/P02/BLACK/W/runs/run_20260926_145955_455752_p27064
W,P02,BLUE,1,training/P02/BLUE/W/runs/run_20260926_145957_775357_p13588
W,P02,WHITE,1,training/P02/WHITE/W/runs/run_20260926_150000_230978_p11480
W,P03,BLACK,1,training/P03/BLACK/W/runs/run_20260926_150002_749564_p8564
W,P03,BLUE,1,training/P03/BLUE/W/runs/run_20260926_150005_121591_p18060
W,P03,WHITE,1,training/P03/WHITE/W/runs/run_20260926_150007_380648_p27596
W,P04,BLACK,1,training/P04/BLACK/W/runs/run_20260926_150009_587749_p26772
W,P04,BLUE,1,training/P04/BLUE/W/runs/run_20260926_150011_825316_p20916
W,P04,WHITE,1,training/P04/WHITE/W/runs/run_20260926_150014_052887_p18804
W,P05,BLACK,1,training/P05/BLACK/W/runs/run_20260926_150016_237907_p12404
W,P05,BLUE,1,training/P05/BLUE/W/runs/run_20260926_150018_510961_p14644
W,P05,WHITE,1,training/P05/WHITE/W/runs/run_20260926_150020_854446_p3148
Y,P01,BLACK,1,training/P01/BLACK/Y/runs/run_20260926_145947_984337_p14120
Y,P01,BLUE,1,training/P01/BLUE/Y/runs/run_20260926_145950_453029_p25540
Y,P01,WHITE,1,training/P01/WHITE/Y/runs/run_20260926_145952_974648_p27064
Y,P02,BLACK,1,training/P02/BLACK/Y/runs/run_20260926_145955_453751_p13588
Y,P02,BLUE,1,training/P02/BLUE/Y/runs/run_20260926_145957_786358_p11480
Y,P02,WHITE,1,training/P02/WHITE/Y/runs/run_20260926_150000_232977_p8564
Y,P03,BLACK,1,training/P03/BLACK/Y/runs/run_20260926_150002_749064_p18060
Y,P03,BLUE,1,training/P03/BLUE/Y/runs/run_20260926_150005_128093_p27596
Y,P03,WHITE,1,training/P03/WHITE/Y/runs/run_20260926_150007_371647_p26772
Y,P04,BLACK,1,training/P04/BLACK/Y/runs/run_20260926_150009_596749_p20916
Y,P04,BLUE,1,training/P04/BLUE/Y/runs/run_20260926_150011_819815_p18804
Y,P04,WHITE,1,training/P04/WHITE/Y/runs/run_20260926_150014_039886_p12404
Y,P05,BLACK,1,training/P05/BLACK/Y/runs/run_20260926_150016_248908_p14644
Y,P05,BLUE,1,training/P05/BLUE/Y/runs/run_20260926_150018_500463_p3148
Y,P05,WHITE,1,training/P05/WHITE/Y/runs/run_20260926_150020_843946_p26832
